lucia.vania@senadora.leg.br;;Lúcia Vânia Abrão;Lúcia Vânia;PSB;GO;(61) 3303-2844 / 2035;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 16;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador643.jpg;F
ronaldo.caiado@senador.leg.br;;Ronaldo Ramos Caiado;Ronaldo Caiado;DEM;GO;(61) 3303-6439 / 6440 / 6445;;;Senado Federal Anexo II Bloco A Térreo Ala Alexandre Costa Gabinete 21;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador456.jpg;M
wilder.morais@senador.leg.br;;Wilder Pedro de Morais;Wilder Morais;PP;GO;(61) 3303-2092 / 2093 / 1809 / 2099 / 2964;;;Senado Federal Anexo II Bloco A Subsolo Ala Afonso Arinos Gabinete 13;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5070.jpg;M
edison.lobao@senador.leg.br;;Edison Lobão;Edison Lobão;PMDB;MA;(61) 3303-2311 / 2312 / 1989;;;Senado Federal Anexo II Bloco A Ala Tancredo Neves Gabinete 54;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador16.jpg;M
joao.alberto.souza@senador.leg.br;;João Alberto de Souza;João Alberto Souza;PMDB;MA;(61) 3303-6349 / 6352;;;Senado Federal Anexo I 5º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador950.jpg;M
robertorocha@senador.leg.br;;Roberto Coelho Rocha;Roberto Rocha;PSB;MA;(61) 3303-1437 / 1506;;;Senado Federal Anexo I 25º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador677.jpg;M
cidinho.santos@senador.leg.br;;José Aparecido dos Santos;Cidinho Santos;PR;MT;(61) 3303-6167 / 6161 / 6172 / 6168;;;Senado Federal Anexo I 19º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5108.jpg;M
josemedeiros@senador.leg.br;;José Antônio Medeiros;José Medeiros;PSD;MT;(61) 3303-1146 / 1148;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 04;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5112.jpg;M
wellington.fagundes@senador.leg.br;;Wellington Antonio Fagundes;Wellington Fagundes;PR;MT;(61) 3303-6219 / 6213 / 6221;;;Senado Federal Anexo II Bloco B Ala Ruy Carneiro Gabinete 04;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador1173.jpg;M
-;;Pedro Chaves dos Santos Filho;Pedro Chaves;PSC;MS;(61) 3303-2453 / 2454 / 2455 / 2456 / 2457;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 02;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5116.jpg;M
simone.tebet@senadora.leg.br;;Simone Nassar Tebet;Simone Tebet;PMDB;MS;(61) 3303-1128;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 11;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5527.jpg;F
waldemir.moka@senador.leg.br;;Waldemir Moka Miranda de Britto;Waldemir Moka;PMDB;MS;(61) 3303-6767 / 6768 / 6774;;;Senado Federal Anexo I 24º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador1176.jpg;M
aecio.neves@senador.leg.br;;Aécio Neves da Cunha;Aécio Neves;PSDB;MG;(61) 3303-6049 / 6050;;;Senado Federal Anexo I 11º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador391.jpg;M
antonio.anastasia@senador.leg.br;;Antonio Augusto Junho Anastasia;Antonio Anastasia;PSDB;MG;(61) 3303-5717;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 23;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5529.jpg;M
zeze.perrella@senador.leg.br;;José Perrella de Oliveira Costa;Zeze Perrella;PTB;MG;(61) 3303-2191 / 2192;;;Senado Federal Edifício Principal Ala Antônio Carlos Magalhãe Gabinete 05;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5144.jpg;M
flexa.ribeiro@senador.leg.br;;Fernando de Souza Flexa Ribeiro;Flexa Ribeiro;PSDB;PA;(61) 3303-2342;;;Senado Federal Anexo II Bloco A Ala Tancredo Neves Gabinete 51;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3634.jpg;M
jader.barbalho@senador.leg.br;;Jader Fontenelle Barbalho;Jader Barbalho;PMDB;PA;(61) 3303-9826 / 9831 / 9827 / 9832;;;Senado Federal Anexo I 2º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador35.jpg;M
paulo.rocha@senador.leg.br;;Paulo Roberto Galvão da Rocha;Paulo Rocha;PT;PA;(61) 3303-3800;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 08;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador374.jpg;M
cassio.cunha.lima@senador.leg.br;;Cássio Rodrigues da Cunha Lima;Cássio Cunha Lima;PSDB;PB;(61) 3303-9808 / 9809 / 9810;;;Senado Federal Anexo I 10º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5197.jpg;M
jose.maranhao@senador.leg.br;;José Targino Maranhão;José Maranhão;PMDB;PB;(61) 3303-6490 / 6485;;;Senado Federal Anexo I 7º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3361.jpg;M
raimundo.lira@senador.leg.br;;Raimundo Lira;Raimundo Lira;PMDB;PB;(61) 3303-6747 / 6754;;;Senado Federal Anexo I 18º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador2207.jpg;M
alvarodias@senador.leg.br;;Alvaro Fernandes Dias;Alvaro Dias;PV;PR;(61) 3303-4059 / 4060;;;Senado Federal Anexo II Bloco A Térreo Ala Nilo Coelho Gabinete 10;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador945.jpg;M
gleisi@senadora.leg.br;;Gleisi Helena Hoffmann;Gleisi Hoffmann;PT;PR;(61) 3303-6265;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 04;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5006.jpg;F
roberto.requiao@senador.leg.br;;Roberto Requião de Mello e Silva;Roberto Requião;PMDB;PR;(61) 3303-6623 / 6624 / 6621 / 6625;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 18;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador72.jpg;M
armando.monteiro@senador.leg.br;;Armando de Queiroz Monteiro Neto;Armando Monteiro;PTB;PE;(61) 3303-6130 / 6127;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador715.jpg;M
fernandobezerracoelho@senador.leg.br;;Fernando Bezerra de Souza Coelho;Fernando Bezerra Coelho;PSB;PE;(61) 3303-2182;;;Senado Federal Edifício Principal Ala Dinarte Mariz Gabinete 04;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5540.jpg;M
humberto.costa@senador.leg.br;;Humberto Sérgio Costa Lima;Humberto Costa;PT;PE;(61) 3303-6285 / 6286;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 25;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5008.jpg;M
ciro.nogueira@senador.leg.br;;Ciro Nogueira Lima Filho;Ciro Nogueira;PP;PI;(61) 3303-6187 / 6188;;;Senado Federal Anexo I 3º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador739.jpg;M
elmano.ferrer@senador.leg.br;;Elmano Férrer de Almeida;Elmano Férrer;PTB;PI;(61) 3303-2415 / 3055 / 1015;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 06;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5531.jpg;M
reginasousa@senadora.leg.br;;Maria Regina Sousa;Regina Sousa;PT;PI;(61) 3303-9049;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 06;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5182.jpg;F
eduardo.lopes@senador.leg.br;;Eduardo Benedito Lopes;Eduardo Lopes;PRB;RJ;(61) 3303-5730 / 5225;;;Senado Federal Anexo II Bloco A Ala Ruy Carneiro Gabinete 02;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4767.jpg;M
lindbergh.farias@senador.leg.br;;Luiz Lindbergh Farias Filho;Lindbergh Farias;PT;RJ;(61) 3303-6426 / 6427;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 11;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3695.jpg;M
romario@senador.leg.br;;Romario de Souza Faria;Romário;PSB;RJ;(61) 3303-6519 / 6517;;;Senado Federal Anexo II Bloco A Subsolo Ala Nilo Coelho Gabinete 11;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5322.jpg;M
fatima.bezerra@senadora.leg.br;;Maria de Fátima Bezerra;Fátima Bezerra;PT;RN;(61) 3303-1777 / 1884;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 03;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3713.jpg;F
garibaldi.alves@senador.leg.br;;Garibaldi Alves Filho;Garibaldi Alves Filho;PMDB;RN;(61) 3303-2371 / 2372;;;Senado Federal Anexo I 8º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador87.jpg;M
jose.agripino@senador.leg.br;;José Agripino Maia;José Agripino;DEM;RN;(61) 3303-2366 / 2361 / 2362;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 09;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador40.jpg;M
ana.amelia@senadora.leg.br;;Ana Amélia de Lemos;Ana Amélia;PP;RS;(61) 3303-6083;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 07;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4988.jpg;F
lasier.martins@senador.leg.br;;Lasier Costa Martins;Lasier Martins;PDT;RS;(61) 3303-2323;;;Senado Federal Anexo II Bloco A Ala Tancredo Neves Gabinete 50;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5533.jpg;M
paulopaim@senador.leg.br;;Paulo Renato Paim;Paulo Paim;PT;RS;(61) 3303-5232 / 5231 / 5230;;;Senado Federal Anexo I 22º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador825.jpg;M
acir@senador.leg.br;;Acir Marcos Gurgacz;Acir Gurgacz;PDT;RO;(61) 3303-3132 / 3131;;;Senado Federal Edifício Principal Ala Dinarte Mariz Gabinete 05;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4981.jpg;M
ivo.cassol@senador.leg.br;;Ivo Narciso Cassol;Ivo Cassol;PP;RO;(61) 3303-6328 / 6329;;;Senado Federal Anexo I 16º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5004.jpg;M
valdir.raupp@senador.leg.br;;Valdir Raupp de Matos;Valdir Raupp;PMDB;RO;(61) 3303-2252 / 2253;;;Senado Federal Anexo I 20º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3372.jpg;M
angela.portela@senadora.leg.br;;Angela Maria Gomes Portela;Angela Portela;PT;RR;(61) 3303-6103 / 6104 / 6105;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 10;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4697.jpg;F
romero.juca@senador.leg.br;;Romero Jucá Filho;Romero Jucá;PMDB;RR;(61) 3303-2115 / 2111 / 2119;;;Senado Federal Anexo II Bloco A Subsolo Ala Afonso Arinos Gabinete 12;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador73.jpg;M
telmariomota@senador.leg.br;;Telmário Mota de Oliveira;Telmário Mota;PDT;RR;(61) 3303-6315;;;Senado Federal Anexo II Bloco B Ala Ruy Carneiro Gabinete 03;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5535.jpg;M
dalirio.beber@senador.leg.br;;Dalírio José Beber;Dalirio Beber;PSDB;SC;(61) 3303-6446 / 6447;;;Senado Federal Anexo II Bloco A Subsolo Ala Nilo Coelho Sala 2;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5132.jpg;M
dario.berger@senador.leg.br;;Dário Elias Berger;Dário Berger;PMDB;SC;(61) 3303-5947 / 5951;;;Senado Federal Anexo II Ala Teotônio Vilela Gabinete 26;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5537.jpg;M
paulo.bauer@senador.leg.br;;Paulo Roberto Bauer;Paulo Bauer;PSDB;SC;(61) 3303-6529 / 6530;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 05;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3741.jpg;M
aloysionunes.ferreira@senador.leg.br;;Aloysio Nunes Ferreira Filho;Aloysio Nunes Ferreira;PSDB;SP;(61) 3303-6063 / 6064;;;Senado Federal Anexo I 9º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador846.jpg;M
-;;José Aníbal Peres de Pontes;José Aníbal;PSDB;SP;(61) 3303-6651 / 6655;;;Senado Federal Edifício Principal Ala Dinarte Mariz Gabinete 02;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador878.jpg;M
marta.suplicy@senadora.leg.br;;Marta Teresa Suplicy;Marta Suplicy;PMDB;SP;(61) 3303-6510 / 6514;;;Senado Federal Edifício Principal Ala Dinarte Mariz Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5000.jpg;F
antoniocarlosvaladares@senador.leg.br;;Antonio Carlos Valadares;Antonio Carlos Valadares;PSB;SE;(61) 3303-2201 / 2203 / 2204 / 1786;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 12;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3.jpg;M
eduardo.amorim@senador.leg.br;;Eduardo Alves do Amorim;Eduardo Amorim;PSC;SE;(61) 3303-6205 / 6206 / 6207 / 6208 / 6209 / 6210 / 6211;;;Senado Federal Anexo II Bloco A Térreo Ala Alexandre Costa Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4721.jpg;M
ricardo.franco@senador.leg.br;;Ricardo Barreto Franco;Ricardo Franco;DEM;SE;(61) 3303-1306 / 4055;;;Senado Federal Anexo II Bloco A Subsolo Ala Nilo Coelho Gabinete 08;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5635.jpg;M
ataides.oliveira@senador.leg.br;;Ataídes de Oliveira;Ataídes Oliveira;PSDB;TO;(61) 3303-2163 / 2164 / 2165;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 05;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5164.jpg;M
katia.abreu@senadora.leg.br;;Kátia Regina de Abreu;Kátia Abreu;PMDB;TO;(61) 3303-2464 / 2708 / 5771 / 2466;;;Senado Federal Anexo I 6º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador1249.jpg;F
vicentinho.alves@senador.leg.br;;Vicente Alves de Oliveira;Vicentinho Alves;PR;TO;(61) 3303-6469 / 6467;;;Senado Federal Anexo I 21º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4763.jpg;M
